STABBR,COSTT4_A,ADM_RATE,UNITID,CONTROL,Year,STABBR_2,COSTT4_A_2,ADM_RATE_2,CONTROL_2,Year_2,STABBR_3,COSTT4_A_3,ADM_RATE_3,CONTROL_3,Year_3,STABBR_4,COSTT4_A_4,ADM_RATE_4,CONTROL_4,Year_4,STABBR_5,COSTT4_A_5,ADM_RATE_5,CONTROL_5,Year_5,STABBR_6,COSTT4_A_6,ADM_RATE_6,CONTROL_6,Year_6,STABBR_7,COSTT4_A_7,ADM_RATE_7,CONTROL_7,Year_7,STABBR_8,COSTT4_A_8,ADM_RATE_8,CONTROL_8,Year_8,STABBR_9,COSTT4_A_9,ADM_RATE_9,CONTROL_9,Year_9,STABBR_10,COSTT4_A_10,ADM_RATE_10,CONTROL_10,Year_10,STABBR_11,COSTT4_A_11,ADM_RATE_11,CONTROL_11,Year_11,STABBR_12,COSTT4_A_12,ADM_RATE_12,CONTROL_12,Year_12,STABBR_13,COSTT4_A_13,ADM_RATE_13,CONTROL_13,Year_13,STABBR_14,COSTT4_A_14,ADM_RATE_14,CONTROL_14,Year_14,STABBR_15,COSTT4_A_15,ADM_RATE_15,CONTROL_15,Year_15,STABBR_16,COSTT4_A_16,ADM_RATE_16,CONTROL_16,Year_16,STABBR_17,COSTT4_A_17,ADM_RATE_17,CONTROL_17,Year_17,STABBR_18,COSTT4_A_18,ADM_RATE_18,CONTROL_18,Year_18,STABBR_19,COSTT4_A_19,ADM_RATE_19,CONTROL_19,Year_19,STABBR_20,COSTT4_A_20,ADM_RATE_20,CONTROL_20,Year_20,STABBR_21,COSTT4_A_21,ADM_RATE_21,CONTROL_21,Year_21,STABBR_22,COSTT4_A_22,ADM_RATE_22,CONTROL_22,Year_22,STABBR_23,COSTT4_A_23,ADM_RATE_23,CONTROL_23,Year_23,STABBR_24,COSTT4_A_24,ADM_RATE_24,CONTROL_24,Year_24,STABBR_25,COSTT4_A_25,ADM_RATE_25,CONTROL_25,Year_25,STABBR_26,COSTT4_A_26,ADM_RATE_26,CONTROL_26,Year_26,STABBR_27,COSTT4_A_27,ADM_RATE_27,CONTROL_27,Year_27
CA,,,123563,1.0,1996.0,CA,,,1.0,1997.0,CA,,,1.0,1998.0,CA,,,1.0,1999.0,CA,,,1.0,2000.0,CA,,,1.0,2001.0,CA,,,1.0,2002.0,CA,,,1.0,2003.0,CA,,,1.0,2004.0,CA,,,1.0,2005.0,CA,,,1.0,2006.0,CA,,,1.0,2007.0,CA,,,1.0,2008.0,CA,11200.0,,1.0,2009.0,CA,12033.0,,1.0,2010.0,CA,12228.0,,1.0,2011.0,CA,11733.0,,1.0,2012.0,CA,12671.0,,1.0,2013.0,CA,13005.0,,1.0,2014.0,CA,13235.0,,1.0,2015.0,CA,12558.0,,1.0,2016.0,CA,12408.0,,1.0,2017.0,CA,13073.0,,1.0,2018.0,CA,12178.0,,1.0,2019.0,CA,13091.0,,1.0,2020.0,CA,9096.0,,1.0,2021.0,CA,12458.0,,1.0,2022.0
CA,,,123572,1.0,1996.0,CA,,,1.0,1997.0,CA,,,1.0,1998.0,CA,,,1.0,1999.0,CA,,,1.0,2000.0,CA,,0.8883,1.0,2001.0,CA,,0.8526,1.0,2002.0,CA,,0.8294,1.0,2003.0,CA,,0.7995,1.0,2004.0,CA,,0.6801,1.0,2005.0,CA,,0.6088,1.0,2006.0,CA,,0.8549,1.0,2007.0,CA,,0.8294,1.0,2008.0,CA,19630.0,0.8117,1.0,2009.0,CA,21175.0,0.7728,1.0,2010.0,CA,21245.0,0.8088,1.0,2011.0,CA,23441.0,0.849,1.0,2012.0,CA,23675.0,0.8186,1.0,2013.0,CA,22604.0,0.8002,1.0,2014.0,CA,22932.0,0.7655,1.0,2015.0,CA,24000.0,0.7627,1.0,2016.0,CA,24410.0,0.8203,1.0,2017.0,CA,24914.0,0.8965,1.0,2018.0,CA,25554.0,0.9119,1.0,2019.0,CA,26537.0,0.8912,1.0,2020.0,CA,16072.0,0.9373,1.0,2021.0,CA,23866.0,0.94,1.0,2022.0
CA,,,123800,1.0,1996.0,CA,,,1.0,1997.0,CA,,,1.0,1998.0,CA,,,1.0,1999.0,CA,,,1.0,2000.0,CA,,,1.0,2001.0,CA,,,1.0,2002.0,CA,,,1.0,2003.0,CA,,,1.0,2004.0,CA,,,1.0,2005.0,CA,,,1.0,2006.0,CA,,,1.0,2007.0,CA,,,1.0,2008.0,CA,8505.0,,1.0,2009.0,CA,9875.0,,1.0,2010.0,CA,9807.0,,1.0,2011.0,CA,10613.0,,1.0,2012.0,CA,10665.0,,1.0,2013.0,CA,10840.0,,1.0,2014.0,CA,10686.0,,1.0,2015.0,CA,10713.0,,1.0,2016.0,CA,11345.0,,1.0,2017.0,CA,11414.0,,1.0,2018.0,CA,11675.0,,1.0,2019.0,CA,12806.0,,1.0,2020.0,CA,12476.0,,1.0,2021.0,CA,19697.0,,1.0,2022.0
CA,,,124113,1.0,1996.0,CA,,,1.0,1997.0,CA,,,1.0,1998.0,CA,,,1.0,1999.0,CA,,,1.0,2000.0,CA,,,1.0,2001.0,CA,,,1.0,2002.0,CA,,,1.0,2003.0,CA,,,1.0,2004.0,CA,,,1.0,2005.0,CA,,,1.0,2006.0,CA,,,1.0,2007.0,CA,,,1.0,2008.0,CA,11190.0,,1.0,2009.0,CA,9647.0,,1.0,2010.0,CA,11959.0,,1.0,2011.0,CA,11531.0,,1.0,2012.0,CA,11975.0,,1.0,2013.0,CA,12554.0,,1.0,2014.0,CA,12377.0,,1.0,2015.0,CA,12882.0,,1.0,2016.0,CA,12097.0,,1.0,2017.0,CA,14567.0,,1.0,2018.0,CA,14045.0,,1.0,2019.0,CA,15037.0,,1.0,2020.0,CA,14929.0,,1.0,2021.0,CA,13417.0,,1.0,2022.0
CA,,,125028,1.0,1996.0,CA,,,1.0,1997.0,CA,,,1.0,1998.0,CA,,,1.0,1999.0,CA,,,1.0,2000.0,CA,,,1.0,2001.0,CA,,,1.0,2002.0,CA,,,1.0,2003.0,CA,,,1.0,2004.0,CA,,,1.0,2005.0,CA,,,1.0,2006.0,CA,,,1.0,2007.0,CA,,,1.0,2008.0,CA,8419.0,,1.0,2009.0,CA,9195.0,,1.0,2010.0,CA,13878.0,,1.0,2011.0,CA,8673.0,,1.0,2012.0,CA,8782.0,,1.0,2013.0,CA,8849.0,,1.0,2014.0,CA,8890.0,,1.0,2015.0,CA,8407.0,,1.0,2016.0,CA,8715.0,,1.0,2017.0,CA,8563.0,,1.0,2018.0,CA,9584.0,,1.0,2019.0,CA,9371.0,,1.0,2020.0,CA,9319.0,,1.0,2021.0,CA,8412.0,,1.0,2022.0
CA,,,125091,1.0,1996.0,CA,,,1.0,1997.0,CA,,,1.0,1998.0,CA,,,1.0,1999.0,CA,,,1.0,2000.0,CA,,,1.0,2001.0,CA,,,1.0,2002.0,CA,,,1.0,2003.0,CA,,,1.0,2004.0,CA,,,1.0,2005.0,CA,,,1.0,2006.0,CA,,,1.0,2007.0,CA,,,1.0,2008.0,CA,11835.0,,1.0,2009.0,CA,11701.0,,1.0,2010.0,CA,11931.0,,1.0,2011.0,CA,12619.0,,1.0,2012.0,CA,13359.0,,1.0,2013.0,CA,13622.0,,1.0,2014.0,CA,14084.0,,1.0,2015.0,CA,14703.0,,1.0,2016.0,CA,15451.0,,1.0,2017.0,CA,15376.0,,1.0,2018.0,CA,16182.0,,1.0,2019.0,CA,16951.0,,1.0,2020.0,CA,18137.0,,1.0,2021.0,CA,19154.0,,1.0,2022.0
CA,,,125170,1.0,1996.0,CA,,,1.0,1997.0,CA,,,1.0,1998.0,CA,,,1.0,1999.0,CA,,,1.0,2000.0,CA,,,1.0,2001.0,CA,,,1.0,2002.0,CA,,,1.0,2003.0,CA,,,1.0,2004.0,CA,,,1.0,2005.0,CA,,,1.0,2006.0,CA,,,1.0,2007.0,CA,,,1.0,2008.0,CA,10589.0,,1.0,2009.0,CA,9968.0,,1.0,2010.0,CA,12557.0,,1.0,2011.0,CA,10612.0,,1.0,2012.0,CA,12466.0,,1.0,2013.0,CA,14551.0,,1.0,2014.0,CA,13296.0,,1.0,2015.0,CA,13200.0,,1.0,2016.0,CA,15314.0,,1.0,2017.0,CA,13252.0,,1.0,2018.0,CA,16393.0,,1.0,2019.0,CA,15451.0,,1.0,2020.0,CA,19681.0,,1.0,2021.0,CA,17404.0,,1.0,2022.0
CA,,,125462,1.0,1996.0,CA,,,1.0,1997.0,CA,,,1.0,1998.0,CA,,,1.0,1999.0,CA,,,1.0,2000.0,CA,,,1.0,2001.0,CA,,,1.0,2002.0,CA,,,1.0,2003.0,CA,,,1.0,2004.0,CA,,,1.0,2005.0,CA,,,1.0,2006.0,CA,,,1.0,2007.0,CA,,,1.0,2008.0,CA,10870.0,,1.0,2009.0,CA,11025.0,,1.0,2010.0,CA,9104.0,,1.0,2011.0,CA,9935.0,,1.0,2012.0,CA,13472.0,,1.0,2013.0,CA,12570.0,,1.0,2014.0,CA,13170.0,,1.0,2015.0,CA,13846.0,,1.0,2016.0,CA,14477.0,,1.0,2017.0,CA,15115.0,,1.0,2018.0,CA,15182.0,,1.0,2019.0,CA,15687.0,,1.0,2020.0,CA,17869.0,,1.0,2021.0,CA,16509.0,,1.0,2022.0
CA,,,125471,1.0,1996.0,CA,,,1.0,1997.0,CA,,,1.0,1998.0,CA,,,1.0,1999.0,CA,,,1.0,2000.0,CA,,,1.0,2001.0,CA,,,1.0,2002.0,CA,,,1.0,2003.0,CA,,,1.0,2004.0,CA,,,1.0,2005.0,CA,,,1.0,2006.0,CA,,,1.0,2007.0,CA,,,1.0,2008.0,CA,12002.0,,1.0,2009.0,CA,11412.0,,1.0,2010.0,CA,11774.0,,1.0,2011.0,CA,11895.0,,1.0,2012.0,CA,13313.0,,1.0,2013.0,CA,12370.0,,1.0,2014.0,CA,12563.0,,1.0,2015.0,CA,13369.0,,1.0,2016.0,CA,13255.0,,1.0,2017.0,CA,14890.0,,1.0,2018.0,CA,14437.0,,1.0,2019.0,CA,15783.0,,1.0,2020.0,CA,16442.0,,1.0,2021.0,CA,17858.0,,1.0,2022.0
CA,,,125499,1.0,1996.0,CA,,,1.0,1997.0,CA,,,1.0,1998.0,CA,,,1.0,1999.0,CA,,,1.0,2000.0,CA,,,1.0,2001.0,CA,,,1.0,2002.0,CA,,,1.0,2003.0,CA,,,1.0,2004.0,CA,,,1.0,2005.0,CA,,,1.0,2006.0,CA,,,1.0,2007.0,CA,,,1.0,2008.0,CA,11373.0,,1.0,2009.0,CA,13666.0,,1.0,2010.0,CA,14164.0,,1.0,2011.0,CA,13846.0,,1.0,2012.0,CA,14627.0,,1.0,2013.0,CA,15863.0,,1.0,2014.0,CA,15693.0,,1.0,2015.0,CA,14989.0,,1.0,2016.0,CA,14508.0,,1.0,2017.0,CA,14758.0,,1.0,2018.0,CA,11907.0,,1.0,2019.0,CA,12182.0,,1.0,2020.0,CA,11810.0,,1.0,2021.0,CA,11344.0,,1.0,2022.0
CA,,,126119,1.0,1996.0,CA,,,1.0,1997.0,CA,,,1.0,1998.0,CA,,,1.0,1999.0,CA,,,1.0,2000.0,CA,,,1.0,2001.0,CA,,,1.0,2002.0,CA,,,1.0,2003.0,CA,,,1.0,2004.0,CA,,,1.0,2005.0,CA,,,1.0,2006.0,CA,,,1.0,2007.0,CA,,,1.0,2008.0,CA,9791.0,,1.0,2009.0,CA,11158.0,,1.0,2010.0,CA,10879.0,,1.0,2011.0,CA,10679.0,,1.0,2012.0,CA,12017.0,,1.0,2013.0,CA,11447.0,,1.0,2014.0,CA,11011.0,,1.0,2015.0,CA,11182.0,,1.0,2016.0,CA,10528.0,,1.0,2017.0,CA,10227.0,,1.0,2018.0,CA,11110.0,,1.0,2019.0,CA,12942.0,,1.0,2020.0,CA,10798.0,,1.0,2021.0,CA,11185.0,,1.0,2022.0
CO,,,126182,1.0,1996.0,CO,,,1.0,1997.0,CO,,,1.0,1998.0,CO,,,1.0,1999.0,CO,,,1.0,2000.0,CO,,0.7076,1.0,2001.0,CO,,0.7682,1.0,2002.0,CO,,0.69,1.0,2003.0,CO,,0.7433,1.0,2004.0,CO,,0.9978,1.0,2005.0,CO,,0.6294,1.0,2006.0,CO,,0.5767,1.0,2007.0,CO,,0.6659,1.0,2008.0,CO,15020.0,0.5725,1.0,2009.0,CO,15989.0,0.5511,1.0,2010.0,CO,16505.0,0.6365,1.0,2011.0,CO,16681.0,0.6066,1.0,2012.0,CO,17759.0,0.526,1.0,2013.0,CO,19043.0,0.6529,1.0,2014.0,CO,20143.0,0.6435,1.0,2015.0,CO,21026.0,0.9857,1.0,2016.0,CO,21480.0,0.9888,1.0,2017.0,CO,22096.0,0.9865,1.0,2018.0,CO,22426.0,0.9909,1.0,2019.0,CO,22317.0,0.9988,1.0,2020.0,CO,23292.0,0.9983,1.0,2021.0,CO,22772.0,0.9918,1.0,2022.0
CO,,,126207,1.0,1996.0,CO,,,1.0,1997.0,CO,,,1.0,1998.0,CO,,,1.0,1999.0,CO,,,1.0,2000.0,CO,,,1.0,2001.0,CO,,,1.0,2002.0,CO,,,1.0,2003.0,CO,,,1.0,2004.0,CO,,,1.0,2005.0,CO,,,1.0,2006.0,CO,,,1.0,2007.0,CO,,,1.0,2008.0,CO,13198.0,,1.0,2009.0,CO,13945.0,,1.0,2010.0,CO,13315.0,,1.0,2011.0,CO,13965.0,,1.0,2012.0,CO,13308.0,,1.0,2013.0,CO,14170.0,,1.0,2014.0,CO,13655.0,,1.0,2015.0,CO,12793.0,,1.0,2016.0,CO,12730.0,,1.0,2017.0,CO,13285.0,,1.0,2018.0,CO,12707.0,,1.0,2019.0,CO,12903.0,,1.0,2020.0,CO,14059.0,,1.0,2021.0,CO,14486.0,,1.0,2022.0
CO,,,126289,1.0,1996.0,CO,,,1.0,1997.0,CO,,,1.0,1998.0,CO,,,1.0,1999.0,CO,,,1.0,2000.0,CO,,,1.0,2001.0,CO,,,1.0,2002.0,CO,,,1.0,2003.0,CO,,,1.0,2004.0,CO,,,1.0,2005.0,CO,,,1.0,2006.0,CO,,,1.0,2007.0,CO,,,1.0,2008.0,CO,12699.0,,1.0,2009.0,CO,13003.0,,1.0,2010.0,CO,13366.0,,1.0,2011.0,CO,13753.0,,1.0,2012.0,CO,13086.0,,1.0,2013.0,CO,13599.0,,1.0,2014.0,CO,13460.0,,1.0,2015.0,CO,13311.0,,1.0,2016.0,CO,12622.0,,1.0,2017.0,CO,13789.0,,1.0,2018.0,CO,14772.0,,1.0,2019.0,CO,14919.0,,1.0,2020.0,CO,16158.0,,1.0,2021.0,CO,16667.0,,1.0,2022.0
CO,,,126562,1.0,1996.0,CO,,,1.0,1997.0,CO,,,1.0,1998.0,CO,,,1.0,1999.0,CO,,,1.0,2000.0,CO,,0.7269,1.0,2001.0,CO,,0.6769,1.0,2002.0,CO,,0.6997,1.0,2003.0,CO,,0.6512,1.0,2004.0,CO,,0.7154,1.0,2005.0,CO,,0.6908,1.0,2006.0,CO,,0.6891,1.0,2007.0,CO,,0.6759,1.0,2008.0,CO,19592.0,0.6279,1.0,2009.0,CO,19828.0,0.6064,1.0,2010.0,CO,20984.0,0.5976,1.0,2011.0,CO,21774.0,0.7408,1.0,2012.0,CO,18822.0,0.7587,1.0,2013.0,CO,19096.0,0.7299,1.0,2014.0,CO,19389.0,0.6742,1.0,2015.0,CO,20306.0,0.6052,1.0,2016.0,CO,21105.0,0.6522,1.0,2017.0,CO,22243.0,0.6363,1.0,2018.0,CO,22467.0,0.6731,1.0,2019.0,CO,22702.0,0.663,1.0,2020.0,CO,22842.0,0.7205,1.0,2021.0,CO,23895.0,0.7458,1.0,2022.0
CO,,,126580,1.0,1996.0,CO,,,1.0,1997.0,CO,,,1.0,1998.0,CO,,,1.0,1999.0,CO,,,1.0,2000.0,CO,,0.6939,1.0,2001.0,CO,,0.676,1.0,2002.0,CO,,0.648,1.0,2003.0,CO,,0.6462,1.0,2004.0,CO,,0.6462,1.0,2005.0,CO,,0.6234,1.0,2006.0,CO,,0.6689,1.0,2007.0,CO,,0.6875,1.0,2008.0,CO,15351.0,0.6448,1.0,2009.0,CO,19188.0,0.6522,1.0,2010.0,CO,17773.0,0.671,1.0,2011.0,CO,17909.0,0.596,1.0,2012.0,CO,16707.0,0.91,1.0,2013.0,CO,18890.0,0.924,1.0,2014.0,CO,18875.0,0.9206,1.0,2015.0,CO,21038.0,0.9286,1.0,2016.0,CO,21148.0,0.9281,1.0,2017.0,CO,21737.0,0.9118,1.0,2018.0,CO,22772.0,0.8719,1.0,2019.0,CO,22169.0,0.8961,1.0,2020.0,CO,22367.0,0.9527,1.0,2021.0,CO,23180.0,0.8477,1.0,2022.0
CO,,,126614,1.0,1996.0,CO,,,1.0,1997.0,CO,,,1.0,1998.0,CO,,,1.0,1999.0,CO,,,1.0,2000.0,CO,,0.7918,1.0,2001.0,CO,,0.801,1.0,2002.0,CO,,0.8026,1.0,2003.0,CO,,0.8484,1.0,2004.0,CO,,0.8768,1.0,2005.0,CO,,0.8789,1.0,2006.0,CO,,0.8152,1.0,2007.0,CO,,0.7796,1.0,2008.0,CO,23261.0,0.8404,1.0,2009.0,CO,24757.0,0.8282,1.0,2010.0,CO,25747.0,0.8694,1.0,2011.0,CO,27236.0,0.8357,1.0,2012.0,CO,27854.0,0.8771,1.0,2013.0,CO,28887.0,0.8416,1.0,2014.0,CO,30025.0,0.7962,1.0,2015.0,CO,31393.0,0.7662,1.0,2016.0,CO,29215.0,0.7984,1.0,2017.0,CO,30178.0,0.8154,1.0,2018.0,CO,31044.0,0.7835,1.0,2019.0,CO,31034.0,0.842,1.0,2020.0,CO,31442.0,0.7958,1.0,2021.0,CO,32351.0,0.8073,1.0,2022.0
CO,,,126711,1.0,1996.0,CO,,,1.0,1997.0,CO,,,1.0,1998.0,CO,,,1.0,1999.0,CO,,,1.0,2000.0,CO,,,1.0,2001.0,CO,,,1.0,2002.0,CO,,,1.0,2003.0,CO,,,1.0,2004.0,CO,,,1.0,2005.0,CO,,,1.0,2006.0,CO,,,1.0,2007.0,CO,,,1.0,2008.0,CO,11609.0,,1.0,2009.0,CO,11609.0,,1.0,2010.0,CO,8308.0,,1.0,2011.0,CO,8677.0,,1.0,2012.0,CO,14430.0,,1.0,2013.0,CO,13773.0,,1.0,2014.0,CO,11613.0,,1.0,2015.0,CO,13611.0,,1.0,2016.0,CO,12579.0,,1.0,2017.0,CO,11125.0,,1.0,2018.0,CO,12038.0,,1.0,2019.0,CO,11457.0,,1.0,2020.0,CO,12281.0,,1.0,2021.0,CO,13610.0,,1.0,2022.0
CO,,,126748,1.0,1996.0,CO,,,1.0,1997.0,CO,,,1.0,1998.0,CO,,,1.0,1999.0,CO,,,1.0,2000.0,CO,,,1.0,2001.0,CO,,,1.0,2002.0,CO,,,1.0,2003.0,CO,,,1.0,2004.0,CO,,,1.0,2005.0,CO,,,1.0,2006.0,CO,,,1.0,2007.0,CO,,,1.0,2008.0,CO,13267.0,,1.0,2009.0,CO,14746.0,,1.0,2010.0,CO,15189.0,,1.0,2011.0,CO,15902.0,,1.0,2012.0,CO,15455.0,,1.0,2013.0,CO,16462.0,,1.0,2014.0,CO,17275.0,,1.0,2015.0,CO,17305.0,,1.0,2016.0,CO,16974.0,,1.0,2017.0,CO,18778.0,,1.0,2018.0,CO,19345.0,,1.0,2019.0,CO,18968.0,,1.0,2020.0,CO,20220.0,,1.0,2021.0,CO,20106.0,,1.0,2022.0
CO,,,126775,1.0,1996.0,CO,,,1.0,1997.0,CO,,,1.0,1998.0,CO,,,1.0,1999.0,CO,,,1.0,2000.0,CO,,0.8085,1.0,2001.0,CO,,0.8231,1.0,2002.0,CO,,0.6739,1.0,2003.0,CO,,0.7944,1.0,2004.0,CO,,0.8465,1.0,2005.0,CO,,0.795,1.0,2006.0,CO,,0.609,1.0,2007.0,CO,,0.615,1.0,2008.0,CO,21389.0,0.615,1.0,2009.0,CO,22870.0,0.4644,1.0,2010.0,CO,25121.0,0.4455,1.0,2011.0,CO,26748.0,0.4455,1.0,2012.0,CO,29091.0,0.3743,1.0,2013.0,CO,30154.0,0.3647,1.0,2014.0,CO,30990.0,0.3767,1.0,2015.0,CO,31226.0,0.4035,1.0,2016.0,CO,32347.0,0.5572,1.0,2017.0,CO,33038.0,0.4919,1.0,2018.0,CO,34932.0,0.5308,1.0,2019.0,CO,36107.0,0.5497,1.0,2020.0,CO,36050.0,0.5688,1.0,2021.0,CO,37114.0,0.58,1.0,2022.0
CO,,,126818,1.0,1996.0,CO,,,1.0,1997.0,CO,,,1.0,1998.0,CO,,,1.0,1999.0,CO,,,1.0,2000.0,CO,,0.7812,1.0,2001.0,CO,,0.7748,1.0,2002.0,CO,,0.8116,1.0,2003.0,CO,,0.8343,1.0,2004.0,CO,,0.8836,1.0,2005.0,CO,,0.8569,1.0,2006.0,CO,,0.8542,1.0,2007.0,CO,,0.8555,1.0,2008.0,CO,17276.0,0.722,1.0,2009.0,CO,18054.0,0.8052,1.0,2010.0,CO,18682.0,0.7587,1.0,2011.0,CO,20152.0,0.7471,1.0,2012.0,CO,21823.0,0.7743,1.0,2013.0,CO,22929.0,0.8048,1.0,2014.0,CO,23137.0,0.8082,1.0,2015.0,CO,24885.0,0.7796,1.0,2016.0,CO,25932.0,0.8262,1.0,2017.0,CO,26861.0,0.8387,1.0,2018.0,CO,26742.0,0.8135,1.0,2019.0,CO,27513.0,0.8352,1.0,2020.0,CO,27955.0,0.8964,1.0,2021.0,CO,28277.0,0.9077,1.0,2022.0
CO,,,126863,1.0,1996.0,CO,,,1.0,1997.0,CO,,,1.0,1998.0,CO,,,1.0,1999.0,CO,,,1.0,2000.0,CO,,,1.0,2001.0,CO,,,1.0,2002.0,CO,,,1.0,2003.0,CO,,,1.0,2004.0,CO,,,1.0,2005.0,CO,,,1.0,2006.0,CO,,,1.0,2007.0,CO,,,1.0,2008.0,CO,15265.0,,1.0,2009.0,CO,17943.0,,1.0,2010.0,CO,23256.0,,1.0,2011.0,CO,23988.0,,1.0,2012.0,CO,18099.0,,1.0,2013.0,CO,14375.0,,1.0,2014.0,CO,14833.0,,1.0,2015.0,CO,15424.0,,1.0,2016.0,CO,14747.0,,1.0,2017.0,CO,14624.0,,1.0,2018.0,CO,14961.0,,1.0,2019.0,CO,15774.0,,1.0,2020.0,CO,16306.0,,1.0,2021.0,CO,15175.0,,1.0,2022.0
CO,,,126915,1.0,1996.0,CO,,,1.0,1997.0,CO,,,1.0,1998.0,CO,,,1.0,1999.0,CO,,,1.0,2000.0,CO,,,1.0,2001.0,CO,,,1.0,2002.0,CO,,,1.0,2003.0,CO,,,1.0,2004.0,CO,,,1.0,2005.0,CO,,,1.0,2006.0,CO,,,1.0,2007.0,CO,,,1.0,2008.0,CO,,,1.0,2009.0,CO,,,1.0,2010.0,CO,,,1.0,2011.0,CO,,,1.0,2012.0,CO,,,1.0,2013.0,CO,,,1.0,2014.0,CO,,,1.0,2015.0,CO,,,1.0,2016.0,CO,,,1.0,2017.0,CO,,,1.0,2018.0,CO,,,1.0,2019.0,CO,,,1.0,2020.0,CO,,,1.0,2021.0,CO,,,1.0,2022.0
CO,,,126942,1.0,1996.0,CO,,,1.0,1997.0,CO,,,1.0,1998.0,CO,,,1.0,1999.0,CO,,,1.0,2000.0,CO,,,1.0,2001.0,CO,,,1.0,2002.0,CO,,,1.0,2003.0,CO,,,1.0,2004.0,CO,,,1.0,2005.0,CO,,,1.0,2006.0,CO,,,1.0,2007.0,CO,,,1.0,2008.0,CO,13856.0,,1.0,2009.0,CO,14574.0,,1.0,2010.0,CO,14241.0,,1.0,2011.0,CO,14502.0,,1.0,2012.0,CO,13908.0,,1.0,2013.0,CO,13884.0,,1.0,2014.0,CO,14076.0,,1.0,2015.0,CO,14516.0,,1.0,2016.0,CO,15571.0,,1.0,2017.0,CO,13440.0,,1.0,2018.0,CO,16203.0,,1.0,2019.0,CO,17261.0,,1.0,2020.0,CO,18370.0,,1.0,2021.0,CO,17536.0,,1.0,2022.0
CO,,,127158,1.0,1996.0,CO,,,1.0,1997.0,CO,,,1.0,1998.0,CO,,,1.0,1999.0,CO,,,1.0,2000.0,CO,,,1.0,2001.0,CO,,,1.0,2002.0,CO,,,1.0,2003.0,CO,,,1.0,2004.0,CO,,,1.0,2005.0,CO,,,1.0,2006.0,CO,,,1.0,2007.0,CO,,,1.0,2008.0,CO,18531.0,,1.0,2009.0,CO,,,1.0,2010.0,CO,,,1.0,2011.0,CO,,,1.0,2012.0,CO,,,1.0,2013.0,CO,,,1.0,2014.0,CO,,,1.0,2015.0,CO,,,1.0,2016.0,CO,,,1.0,2017.0,CO,,,1.0,2018.0,CO,,,1.0,2019.0,CO,,,1.0,2020.0,CO,,,1.0,2021.0,CO,,,1.0,2022.0
CO,,,127185,1.0,1996.0,CO,,,1.0,1997.0,CO,,,1.0,1998.0,CO,,,1.0,1999.0,CO,,,1.0,2000.0,CO,,0.8412,1.0,2001.0,CO,,0.7955,1.0,2002.0,CO,,0.7756,1.0,2003.0,CO,,0.7385,1.0,2004.0,CO,,0.7385,1.0,2005.0,CO,,0.7331,1.0,2006.0,CO,,0.722,1.0,2007.0,CO,,0.6038,1.0,2008.0,CO,17162.0,0.6776,1.0,2009.0,CO,17886.0,0.6548,1.0,2010.0,CO,18725.0,0.709,1.0,2011.0,CO,18410.0,0.885,1.0,2012.0,CO,19565.0,0.875,1.0,2013.0,CO,21691.0,0.9082,1.0,2014.0,CO,22780.0,0.8596,1.0,2015.0,CO,24298.0,0.9212,1.0,2016.0,CO,25064.0,0.8321,1.0,2017.0,CO,25229.0,0.9092,1.0,2018.0,CO,23701.0,0.9138,1.0,2019.0,CO,23881.0,0.9151,1.0,2020.0,CO,23428.0,0.9275,1.0,2021.0,CO,24017.0,0.9098,1.0,2022.0
CO,,,127200,1.0,1996.0,CO,,,1.0,1997.0,CO,,,1.0,1998.0,CO,,,1.0,1999.0,CO,,,1.0,2000.0,CO,,,1.0,2001.0,CO,,,1.0,2002.0,CO,,,1.0,2003.0,CO,,,1.0,2004.0,CO,,,1.0,2005.0,CO,,,1.0,2006.0,CO,,,1.0,2007.0,CO,,,1.0,2008.0,CO,15169.0,,1.0,2009.0,CO,15724.0,,1.0,2010.0,CO,15816.0,,1.0,2011.0,CO,16205.0,,1.0,2012.0,CO,14433.0,,1.0,2013.0,CO,14336.0,,1.0,2014.0,CO,14596.0,,1.0,2015.0,CO,14530.0,,1.0,2016.0,CO,13934.0,,1.0,2017.0,CO,15314.0,,1.0,2018.0,CO,15827.0,,1.0,2019.0,CO,16622.0,,1.0,2020.0,CO,16915.0,,1.0,2021.0,CO,16836.0,,1.0,2022.0
CO,,,127389,1.0,1996.0,CO,,,1.0,1997.0,CO,,,1.0,1998.0,CO,,,1.0,1999.0,CO,,,1.0,2000.0,CO,,,1.0,2001.0,CO,,,1.0,2002.0,CO,,,1.0,2003.0,CO,,,1.0,2004.0,CO,,,1.0,2005.0,CO,,,1.0,2006.0,CO,,,1.0,2007.0,CO,,,1.0,2008.0,CO,13348.0,,1.0,2009.0,CO,14635.0,,1.0,2010.0,CO,15430.0,,1.0,2011.0,CO,15709.0,,1.0,2012.0,CO,15591.0,,1.0,2013.0,CO,16043.0,,1.0,2014.0,CO,15861.0,,1.0,2015.0,CO,16527.0,,1.0,2016.0,CO,15610.0,,1.0,2017.0,CO,16650.0,,1.0,2018.0,CO,17586.0,,1.0,2019.0,CO,17835.0,,1.0,2020.0,CO,18151.0,,1.0,2021.0,CO,17855.0,,1.0,2022.0
